date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:18	3557/3557	---M--	404	error ('Not%20Found')	text/html	etag:%225eb77445-de5%22	http://fortnitestore.xyz/robots.txt		(from )
22:22:18	39346/39346	---M--	200	added ('OK')	text/html	etag:%2261c86248-99b2%22	http://fortnitestore.xyz/	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/index.html	(from )
22:22:19	3557/3557	---M--	404	error ('Not%20Found')	text/html	etag:%225eb77445-de5%22	http://fortnitestore.xyz/client.crisp.chat/l.js	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/client.crisp.chat/l.js	(from http://fortnitestore.xyz/)
22:22:19	9339/9339	---M--	200	added ('OK')	text/html	etag:%22619d0aea-247b%22	http://fortnitestore.xyz/assets/img/apple-touch-icon.html	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/img/apple-touch-icon.html	(from http://fortnitestore.xyz/)
22:22:19	26053/26053	---M--	200	added ('OK')	text/css	etag:%22619c16f1-65c5%22	http://fortnitestore.xyz/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/aos/aos.css	(from http://fortnitestore.xyz/)
22:22:22	163912/163912	---M--	200	added ('OK')	text/css	etag:%22619c16f1-28048%22	http://fortnitestore.xyz/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://fortnitestore.xyz/)
22:22:23	65700/65700	---M--	200	added ('OK')	text/css	etag:%22619c16f1-100a4%22	http://fortnitestore.xyz/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from http://fortnitestore.xyz/)
22:22:25	29905/29905	---M--	200	added ('OK')	image/png	etag:%22619c16f1-74d1%22	http://fortnitestore.xyz/assets/img/favicon.png	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/img/favicon.png	(from http://fortnitestore.xyz/)
22:22:25	13785/13785	---M--	200	added ('OK')	text/css	etag:%22619c16f1-35d9%22	http://fortnitestore.xyz/assets/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/glightbox/css/glightbox.min.css	(from http://fortnitestore.xyz/)
22:22:25	15561/15561	---M--	200	added ('OK')	text/css	etag:%22619c16f1-3cc9%22	http://fortnitestore.xyz/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/swiper/swiper-bundle.min.css	(from http://fortnitestore.xyz/)
